,ratings,title,review,date,reviewd_by
89,5 out of 5,Received as advertised.,Perfect camera good fast charging and long lasting battery very light phone and perfect body design.,10-03-2023,10-03-2023by Errol
90,5 out of 5,RAM! RAM and more RAM,The RAM on this phone for the price is amazing.  For its price what it delivers is amazing. So far it has been an amazing experience,08-03-2023,08-03-2023by Njenga
91,5 out of 5,the RAM is amasing storage perfect,The price is good,02-03-2023,02-03-2023by Nicholus
92,3 out of 5,I like it.,"I have issues with the camera, the back camera is 13 MP instead of 50 MP. why?",28-02-2023,28-02-2023by Victor
93,5 out of 5,The product is such amazingly brilliant.,Works beyond expectations.Glad to have it,28-02-2023,28-02-2023by Amusata
94,1 out of 5,useless product,"Just dont sell it.....doesnt support 2sims and a mem card....poor camera,just heat up unnecessarily",28-02-2023,28-02-2023by Marthah
95,5 out of 5,I like it,It's camera is perfect.,24-02-2023,24-02-2023by Jane Mukhwana
96,5 out of 5,Good service,Fast. Accurate. Affordable.,24-02-2023,24-02-2023by Peter
97,5 out of 5,I like it,good product,20-02-2023,20-02-2023by EUTYCUS
98,4 out of 5,Like it,"Good speed of 8GB
Camera not up to the highest quality,.....affected by too much sunlight....it cannot balance",20-02-2023,20-02-2023by JOHNSTONE
99,5 out of 5,I like it,It's incredible,20-02-2023,20-02-2023by Brian
100,5 out of 5,nice,Storage!!,15-02-2023,15-02-2023by augustine
101,5 out of 5,I love it.,It's a steal and a bargain. Such power and elegance and tech for such a price.,15-02-2023,15-02-2023by elvis
102,5 out of 5,I like it,Just as described. Excellent low budget phone,09-02-2023,09-02-2023by Daniel
103,5 out of 5,M5,"Excellent phone, delivery was on time,the space and speed is amazing, exactly as shown and exceeded my expectations based on its price,worth it great for gaming.too",07-02-2023,07-02-2023by JOE
104,4 out of 5,nice gadget exactly what i ordered,Cannot use two sims and mem card at the same time,03-02-2023,03-02-2023by James
105,5 out of 5,Best Smartphone,"This is the best phone in the current generation,the price is fair and the features meets my expectations ❤️",27-01-2023,27-01-2023by BENARD
106,5 out of 5,i love this fone,Space ???? ????,27-01-2023,27-01-2023by Hagai
107,5 out of 5,I like it,"The phone is as described and was delivered in time.
Its specs are????????????",27-01-2023,27-01-2023by David
108,5 out of 5,Good service,My products delivered with time????????,27-01-2023,27-01-2023by Denis
109,4 out of 5,Pretty good phone,First the delivery was timely!The storage is just amazing for the price. Charges fast too. So far so good.,27-01-2023,27-01-2023by Mpm
110,5 out of 5,m5,"Amazing, everything is working well",20-01-2023,20-01-2023by Maurice
111,5 out of 5,As advertised.... worth the money,Excellent speed ..and storage....,20-01-2023,20-01-2023by Urbanus
112,3 out of 5,I like it,"As of now,it's operating so well and I love it so much but I worry about the spare parts Incase of breakage",20-01-2023,20-01-2023by Samwel
113,5 out of 5,Outstanding,"Great device, everything about it stands out, Hope the accessories i.e optional covers and screen guard come in soon. The features are of the charts for it's price, it's really a good purchase and I hope it serves me well.",17-01-2023,17-01-2023by Malachi
114,4 out of 5,perfect,It's a perfect one... Delivery so fast,17-01-2023,17-01-2023by felix
115,5 out of 5,"love the phone,am  a satisfied customer.","love the phone,am  a satisfied customer.exactly what i odered good and i also like the jumia service their return policy  very easy /their services are the best.",13-01-2023,13-01-2023by erick
116,5 out of 5,I love it.,A good device and phone worth the price. Already enjoying phone with large battery and nice specifications. Delivered as ordered.,13-01-2023,13-01-2023by Joseph Ngaira
117,5 out of 5,I love it,Received on time. Freeyond m5 is a nice phone,13-01-2023,13-01-2023by Wesley
